SA1_MAINCODE_2016,CED_CODE_2016,CED_NAME_2016,AREA_ALBERS_SQKM
11901135961,101,Banks,0.0999
11904137903,101,Banks,0.0488
11903137228,101,Banks,0.1257
11901136026,101,Banks,0.1427
11903136932,101,Banks,0.08
11903137427,101,Banks,0.024
11901135835,101,Banks,0.4347
11904137902,101,Banks,0.1227
11903137120,101,Banks,0.1288
11903136921,101,Banks,0.053
11903137301,101,Banks,0.0886
11903137208,101,Banks,0.1926
11903137319,101,Banks,0.1364
11903136923,101,Banks,0.123
11903137426,101,Banks,0.0076
11903137129,101,Banks,0.2123
11903137019,101,Banks,0.1633
11904137912,101,Banks,0.0697
11903136939,101,Banks,0.1172
11903137114,101,Banks,0.0821
11903137234,101,Banks,0.1412
11904137905,101,Banks,0.0235
11901135813,101,Banks,0.0806
11903137024,101,Banks,0.1457
11903137405,101,Banks,0.0766
11903137018,101,Banks,0.1275
11901135911,101,Banks,0.1504
11904137917,101,Banks,0.1264
11903137310,101,Banks,0.0618
11903137238,101,Banks,0.235
11903137101,101,Banks,0.0951
11903137203,101,Banks,0.2059
11903137013,101,Banks,0.1034
11903137017,101,Banks,0.1419
11901136029,101,Banks,0.1767
11903137240,101,Banks,0.0856
11901136020,101,Banks,0.1101
11903137422,101,Banks,0.0562
11901136021,101,Banks,0.0852
11903137308,101,Banks,0.0606
11901135922,101,Banks,1.8286
11903137316,101,Banks,0.1239
11903137413,101,Banks,0.1425
11903137219,101,Banks,0.1523
11903137447,101,Banks,0.1669
11903136933,101,Banks,0.1145
11901135927,101,Banks,0.0861
11901135908,101,Banks,0.1993
11904137929,101,Banks,0.0845
11903136905,101,Banks,0.0423
11901135803,101,Banks,0.1597
11903137324,101,Banks,0.1013
11903137423,101,Banks,0.0696
11901135804,101,Banks,0.173
11901135935,101,Banks,0.1519
11903137239,101,Banks,0.1143
11901136017,101,Banks,0.2625
11903137122,101,Banks,0.1056
11901135912,101,Banks,0.0932
11903136940,101,Banks,0.0695
11901135955,101,Banks,0.1162
11901135926,101,Banks,0.1649
11903137320,101,Banks,0.1838
11903137020,101,Banks,0.081
11903137451,101,Banks,0.0468
11901135917,101,Banks,0.1035
11903137429,101,Banks,0.0383
11903137214,101,Banks,0.1335
11901135910,101,Banks,1.1493
11903137443,101,Banks,0.1584
11903137237,101,Banks,0.2959
11903137305,101,Banks,0.0774
11903137313,101,Banks,0.0952
11903136927,101,Banks,0.0545
11901135947,101,Banks,0.1466
11903136918,101,Banks,0.1974
11903137428,101,Banks,0.0162
11903136928,101,Banks,0.0495
11903136938,101,Banks,0.092
11903136904,101,Banks,0.5062
11901135918,101,Banks,0.1025
11903137322,101,Banks,0.1113
11903137008,101,Banks,0.0419
